"transaction_id","items"
1,"Winfroponor,Varcadonantor"
2,"Tipjubentor,Wineradax,Untinilar,Lomerentor,Varcadonantor"
3,"Parzapewover"
6,"Wineradax"
7,"Tipjubentor,Uneredantor,Zeewerpplax"
8,"Winsapilicator"
9,"Parzapewover,Zeewerpplax,Tupwerpollex"
10,"Lomtumanar,Uneredantor,Untinilar"
11,"Trubanackor"
14,"Lomnipimover,Untumicantor,Lomtumanar"
15,"Parzapewover"
17,"Uneredantor"
18,"Winsapilicator,Retanedgar"
19,"Lomtumanar,Winsapilicator"
20,"Thruvenedistor,Tupwerpollex"
21,"Lomnipimover"
22,"Lomnipimover,Advenommin"
23,"Untinilar,Wineradax"
25,"Varrobplax,Winfroponor,Zeewerpplax"
26,"Lomnipimover,Thruvenedistor"
27,"Advenommin,Parzapewover"
28,"Zeewerpplax,Varrobplax,Parzapewover"
29,"Barsipanan,Lomtumanar"
30,"Lomnipimover,Winsapilicator"
31,"Barsipanan,Winfroponor"
32,"Lomnipimover,Advenommin"
34,"Retanedgar,Lomnipimover"
36,"Barsipanan,Trubanackor,Winfroponor,Lomnipimover"
38,"Varcadonantor,Zeewerpplax"
40,"Zeewerpplax"
42,"Wineradax,Winfroponor,Lomtumanar,Wineradax"
43,"Untumicantor,Trubanackor"
46,"Varrobplax,Advenommin"
47,"Parzapewover,Barsipanan"
48,"Wineradax,Zeewerpplax,Uneredantor,Untumicantor"
49,"Zeewerpplax"
50,"Untinilar,Tupwerpollex,Varrobplax"
